Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+10 (cm-3) 
500.1 to 1599.9 Angstroms
Number of lines:  30054
Minimum intensity =        259397.92
Units are:  photons cm-2 sr-1 s-1
Lines marked with a * do not have correspondent observed energy levels 
and have approximate wavelengths.
Calculated: 13/Oct/21 14:22:14

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   1.38038e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 
503.2710     2.25e+09 Ca IX          5.8   3s 3p 3P0 - 3p2 3P1
503.2740     1.47e+06 Mg IX *        5.9   2s 4d 3D3 - 2s 5p 3P2
503.3160     2.91e+05 Ne V *         5.6   2s 2p2 3s 3P1 - 2s2 2p 5d 3D1
503.3300     3.18e+05 Mg IX *        5.9   2s 4d 3D1 - 2s 5p 3P0
503.3370     6.80e+05 Fe IX *        5.8   3s2 3p4 3d2 3F4 - 3s 3p5 3d2 3G5
503.3440     5.90e+05 Mg IX *        5.9   2s 4d 3D2 - 2s 5p 3P1
503.3510     7.83e+07 Fe IX *        5.9   3s2 3p5 4d 3D1 - 3s2 3p5 5p 3P0
503.3680     6.92e+06 Fe IX *        5.8   3s2 3p4 3d2 3P2 - 3s2 3p5 4d 3F2
503.3790     1.81e+06 Fe IX *        5.8   3s2 3p4 3d2 3G4 - 3s 3p5 3d2 3G5
503.4080     6.16e+05 Fe XI *        6.0   3s2 3p2 3d2 5S2 - 3s 3p3 3d2 5P1
503.4290     2.44e+06 Ne V *         5.6   2s2 2p 3p 1S0 - 2s 2p2 3p 1P1
503.4650     5.87e+07 Fe VI          5.2   3p63d3 2D3/2 - 3p63d24s 2F7/2
503.5790     5.86e+05 Fe IX *        5.8   3s2 3p4 3d2 1D2 - 3s 3p5 3d2 3P2
503.6210     2.02e+06 Si VI *        5.8   2s2.2p4(3P).3d 2D5/2 - 2s2.2p4(1D).4p 2F7/2
503.8940     7.61e+05 S VII *        5.8   2s2 2p5 4s 3P2 - 2s2 2p5 5p 3D2
503.9360     4.78e+05 Fe X *         5.9   3s2 3p4 4p 4D7/2 - 3s2 3p4 4d 2F7/2
503.9970     2.14e+06 Fe IX *        5.8   3s2 3p4 3d2 1G4 - 3s 3p5 3d2 3G5
504.0200     3.11e+05 Fe X *         5.9   3s2 3p3 3d2 2D5/2 - 3s 3p4 3d2 2F7/2
504.3120     4.24e+07 Ne V *         5.6   2s2 2p 3p 3D3 - 2s 2p2 3p 3D3
504.4540     1.83e+07 Fe IX *        5.8   3s2 3p4 3d2 1G4 - 3s 3p5 3d2 1G4
504.4670     1.20e+06 Mg III *       5.2   2s2 2p5 3s 3P1 - 2s2 2p5 6p 1S0
504.4810     5.30e+06 Ne V *         5.6   2s2 2p 3p 3D3 - 2s 2p2 3p 3D2
504.5190     1.69e+07 Ne V           5.6   2s2 2p 3p 3D1 - 2s2 2p 4d 1D2
504.5340     2.58e+06 Ne V *         5.6   2s2 2p 3p 3S1 - 2s2 2p 4d 3D1
504.5600     9.41e+06 Si V           5.6   2s2 2p5 3p 3S1 - 2s2 2p5 4s 3P0
504.6140     5.94e+05 S VII *        5.8   2s2 2p5 4s 3P0 - 2s2 2p5 5p 3D1
504.6200     1.52e+07 Fe X *         5.9   3s2 3p4 3d 2S1/2 - 3s 3p5 3d 2D3/2
504.6380     6.10e+06 Si V           5.7   2s2 2p5 3d 1P1 - 2s2 2p5 5f 1D2
504.6610     2.79e+06 Fe IX *        5.8   3s2 3p5 4d 3F3 - 3s2 3p4 3d 4s 3D2
504.6910     3.04e+05 Ne V *         5.6   2s 2p2 3s 3D2 - 2p3 3s 3D3
504.7230     3.10e+05 Ar IX          5.9   2s2 2p5 3p 3D3 - 2s2 2p5 3d 3F2
504.7260     2.34e+06 Ne V *         5.6   2s 2p2 3s 3D3 - 2p3 3s 3D3
504.7310     6.79e+07 Fe IX *        5.8   3s2 3p4 3d2 3G5 - 3s 3p5 3d2 3G5
504.7630     2.84e+05 Ne V *         5.6   2s 2p2 3s 3D1 - 2p3 3s 3D2
504.7880     1.26e+06 Ne V *         5.6   2s 2p2 3s 3D2 - 2p3 3s 3D2
504.7900     4.82e+05 Ni XII *       6.1   3s2 3p4 4s 4P3/2 - 3s2 3p4 4p 2P3/2
504.8120     3.16e+05 Fe IX *        5.8   3s2 3p4 3d2 3P0 - 3s 3p5 3d2 1P1
504.8240     8.27e+05 Ne V *         5.6   2s 2p2 3s 3D1 - 2p3 3s 3D1
504.8240     3.10e+05 Ne V *         5.6   2s 2p2 3s 3D3 - 2p3 3s 3D2
504.8490     2.59e+06 S VII *        5.8   2s2 2p5 4s 3P2 - 2s2 2p5 5p 3D3
504.8490     2.91e+05 Ne V *         5.6   2s 2p2 3s 3D2 - 2p3 3s 3D1
505.0380     1.25e+06 Fe VIII *      5.8   3s2 3p4 3d3 4F9/2 - 3s2 3p5 3d 4d 4F9/2
505.0810     3.07e+05 Fe IX *        5.9   3s2 3p5 4f 1G4 - 3s2 3p4 3d 4p 3D3
505.0920     1.46e+06 Ne VI *        5.7   2p2 3s 2P3/2 - 2s 2p 4d 2D5/2
505.1060     7.55e+05 Cr VIII *      5.8   3s2.3p3(2P).3d2(3F) 4G9/2 - 3s.3p4(3P).3d2(1G) 4G9/2
505.1470     1.25e+06 Mg III *       5.2   2s2 2p5 3s 1P1 - 2s2 2p5 7p 3P2
505.2210     5.44e+05 Fe XI *        6.0   3s2 3p3 4p 3D3 - 3s2 3p3 4d 3F3
505.2240     1.24e+06 Mg III *       5.2   2s2 2p5 3s 1P1 - 2s2 2p5 7p 1P1
505.2260     4.26e+05 Fe IX *        5.8   3s2 3p4 3d2 1D2 - 3s 3p5 3d2 3S1
505.2770     1.84e+07 Fe IX *        5.8   3s2 3p4 3d2 3P1 - 3s2 3p5 4d 3F2
505.4050     1.68e+06 Mg III *       5.2   2s2 2p5 3s 1P1 - 2s2 2p5 7p 3D2
505.4110     5.23e+05 N II           4.7   2s2.2p2 3P0 - 2s2.2p.4s 1P1
505.4240     3.52e+05 Na VI *        5.8   2s 2p2 3p 5S2 - 2s 2p2 4s 5P2
505.4850     4.36e+06 Mg IV *        5.4   2s2 2p4 3s 4P3/2 - 2s2 2p4 4p 4S3/2
505.5360     3.74e+05 N II           4.7   2s2.2p2 3P1 - 2s2.2p.4s 1P1
505.5740     7.44e+06 Fe XIII *      6.1   3s2 3p 3d 3F3 - 3s 3p2 3d 5F4
505.5780     5.72e+06 Si V           5.7   2s2 2p5 3d 1P1 - 2s2 2p5 5f 3D2
505.5970     3.72e+05 O V *          5.4   2p 3d 3P1 - 2p 5f 1D2
505.6420     1.53e+06 Fe IX *        5.9   3s2 3p5 4f 1D2 - 3s2 3p4 3d 4p 3F3
505.6670     4.53e+05 Ne V           5.6   2s2 2p 3p 3D2 - 2s2 2p 4d 1D2
505.6700     3.30e+05 Fe IX *        5.8   3s2 3p5 4d 3D3 - 3s2 3p4 3d 4s 3F4
505.6810     7.33e+05 Fe IX *        5.8   3s2 3p4 3d2 1P1 - 3s 3p5 3d2 3P1
505.6830     2.27e+06 Fe IX *        5.8   3s2 3p4 3d2 3P0 - 3s 3p5 3d2 3D1
505.7460     5.37e+05 N II           4.7   2s2.2p2 3P2 - 2s2.2p.4s 1P1
505.8060     3.38e+05 Ne V *         5.6   2s 2p2 3s 3P1 - 2s2 2p 5d 1D2
505.8460     3.72e+07 Ar VII         5.6   3p 3d 1P1 - 3s 5s 1S0
505.8660     4.26e+06 Fe IX *        5.8   3s2 3p5 4d 3D3 - 3s2 3p4 3d 4s 3D3
505.8710     4.46e+05 Fe VIII *      5.8   3s2 3p4 3d3 4S3/2 - 3s2 3p5 3d 4d 4P1/2
505.8890     9.72e+05 Ca IX          5.8   3s 3p 1P1 - 3s 3d 3D2
505.8910     3.44e+05 K VIII         5.8   3s 4p 1P1 - 3p 4p 1S0
506.0710     1.21e+06 Fe IX *        5.8   3s2 3p4 3d2 5P2 - 3s 3p5 3d2 5D2
