Predicted XUV Line Intensities
CHIANTI database - Version 9.0
Calculated with Constant density=  1.00e+09 (cm-3) 
1210.1 to 1253.8 Angstroms
Number of lines:  205
Minimum intensity =        5444632.2
Units are:  photons cm-2 sr-1 s-1
Calculated: 24/May/21 13:03:45

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Thu Dec  7 13:00:33 2017

 Elemental Abundance file: sun_photospheric_2011_caffau.abund
created for the CHIANTI atomic database by Peter Young, 27-Jun-2012
abundance: Caffau, E., Ludwig, H.-G., Steffen, M., Freytag, B. \& Bonifacio, P. 2011, Sol. Phys. 
              268, 255  <bibcode="2011SoPh..268..255C">
            Lodders, K., Palme, H., \& Gail, H.P. 2009, Astronomy, Astrophysics, and Cosmology, B: 
              Solar System, Landolt-Bornstein, New Series VI/4, Spring, Berlin, 560 
              <bibcode="2009LanB...4B...44L">
comment:
   Caffau et al. (2011) provided new abundances for 12 elements, 8 of which have Z<31. Caffau et al.
   recommend combining these values with the abundances of Lodders et al. (2009), and so all other
   abundances are from this paper.
Minimum abundance =   4.16869e-08

Differential Emission Measure file: quiet_sun.dem
filename: quiet\_sun.dem
dem: produced by chianti\_dem.pro
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average Quiet Sun,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 
1228.9771    8.48e+06 Fe VI          5.2   3p63d24s 2D5/2 - 3p63d24p 4D7/2
1229.0100    1.15e+09 Si VI          5.8   2s2.2p4(3P).3s 2P3/2 - 2s2.2p4(3P).3p 2D5/2
1229.1550    1.11e+07 N III          5.0   2s2 3p 2P3/2 - 2s 2p 3p 2S1/2
1229.3060    4.33e+08 Fe III         4.3   3s2 3p6 3d5 4s 5S2 - 3s2 3p6 3d5 4p 5D3
1229.8000    3.26e+07 Fe III         4.5   3s2 3p6 3d5 4s 3D2 - 3s2 3p6 3d5 4p 3D2
1229.8370    6.42e+06 Ne II          4.9   2s22p43s 2P3/2 - 2s22p43p 2P3/2
1229.9480    1.15e+08 Fe VI          5.2   3p63d24s 4F9/2 - 3p63d24p 4D7/2
1230.0430    2.76e+08 C IV           5.1   1s2.3p 2P1/2 - 1s2.4s 2S1/2
1230.2450    8.82e+06 Fe III         4.4   3s2 3p6 3d6 3P1 - 3s2 3p6 3d5 4s 3P1
1230.3190    2.40e+07 Fe III         4.4   3s2 3p6 3d6 3P1 - 3s2 3p6 3d5 4s 3P2
1230.5210    5.52e+08 C IV           5.1   1s2.3p 2P3/2 - 1s2.4s 2S1/2
1230.5750    5.11e+09 Fe III         4.3   3s2 3p6 3d6 5D2 - 3s2 3p6 3d5 4p 7P2
1230.6160    4.08e+08 Fe III         4.4   3s2 3p6 3d6 3F2 - 3s2 3p6 3d5 4p 3F2
1230.7950    2.98e+07 Si IV          4.9   4p 2P3/2 - 6s 2S1/2
1230.9240    1.03e+07 Fe VI          5.2   3p63d24s 4F5/2 - 3p63d24p 2F7/2
1231.3750    1.81e+08 Si VIII        6.0   2s2.2p2(3P)3s 4P5/2 - 2s2.2p2(3P)3p 4D5/2
1231.7980    2.39e+07 Fe III         4.5   3s2 3p6 3d5 4s 3D1 - 3s2 3p6 3d5 4p 3D1
1232.2100    9.91e+06 Fe III         4.5   3s2 3p6 3d5 4s 3D2 - 3s2 3p6 3d5 4p 3D1
1232.2889    2.17e+07 Fe III         4.4   3s2 3p6 3d6 3F3 - 3s2 3p6 3d5 4p 3F2
1232.3010    1.50e+07 Si VII         5.9   2s2.2p3(2D).3s 3D1 - 2s2.2p3(2D).3p 3D2
1232.4771    1.03e+08 Fe VI          5.2   3p63d24s 4F7/2 - 3p63d24p 4D5/2
1232.5439    1.78e+08 Si VII         5.9   2s2.2p3(2D).3s 3D2 - 2s2.2p3(2D).3p 3D2
1233.4380    2.56e+09 S II           4.1   3s2 3p3 2P1/2 - 3p2(3P)3d 2P3/2
1233.5129    1.18e+09 Fe III         4.3   3s2 3p6 3d6 5D1 - 3s2 3p6 3d5 4p 7P2
1234.0699    2.37e+07 Fe III         4.4   3s2 3p6 3d6 3P2 - 3s2 3p6 3d5 4p 3F2
1234.1490    1.61e+10 S II           4.1   3s2 3p3 2P3/2 - 3p2(3P)3d 2P3/2
1234.1870    1.03e+07 Fe III         4.4   3s2 3p6 3d5 4s 3D3 - 3s2 3p6 3d5 4p 3F3
1234.3850    4.02e+07 Si VII         5.9   2s2.2p3(2D).3s 3D3 - 2s2.2p3(2D).3p 3D2
1234.4139    5.28e+07 O IV           5.3   2s 2p 3p 2S1/2 - 2s 2p 4s 2P3/2
1234.7460    3.18e+07 Fe III         4.4   3s2 3p6 3d6 3G4 - 3s2 3p6 3d5 4s 3D3
1235.0970    3.58e+08 Fe III         4.4   3s2 3p6 3d6 3G4 - 3s2 3p6 3d5 4s 3D2
1235.4520    4.20e+08 Si V           5.6   2s2 2p5 3s 3P2 - 2s2 2p5 3p 3D2
1235.5229    4.78e+07 Fe III         4.4   3s2 3p6 3d6 1D2 - 3s2 3p6 3d5 4p 3F3
1235.7120    4.67e+07 Si VIII        6.0   2s2.2p2(3P)3s 4P3/2 - 2s2.2p2(3P)3p 4D1/2
1235.7910    8.81e+07 Fe III         4.4   3s2 3p6 3d5 4s 5S2 - 3s2 3p6 3d5 4p 3G3
1235.8750    9.91e+06 Mg IV          5.4   2s2 2p4 3p 4P3/2 - 2s2 2p4 3d 4P1/2
1235.9600    7.34e+08 Si VII         5.9   2s2.2p3(2D).3s 1D2 - 2s2.2p3(2D).3p 1F3
1236.9399    9.69e+06 Mg IV          5.4   2s2 2p4 3p 4P1/2 - 2s2 2p4 3d 4P3/2
