Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+08 (cm-3) 
165.0 to 295.0 Angstroms
Number of lines:  4124
Minimum intensity =    2.4893286e-06
Units are:  erg cm-2 sr-1 s-1
Calculated: 13/May/22 14:39:16

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   1.38038e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 
168.3370     3.67e-04 Fe XI         6.00   3s2 3p4 3P2 - 3s2 3p3 3d 1F3
168.3630     4.02e-03 O IV          5.35   2s2 2p 2P3/2 - 2p2 3s 2P1/2
168.3700     2.74e-05 Ni XIV        6.15   3s2.3p3 4S3/2 - 3s2.3p2(1S).3d 2D3/2
168.4030     4.31e-05 Ca XIII       6.10   2s2.2p4 3P1 - 2s.2p5 3P2
168.4199     2.66e-04 C V           5.90   1s.2p 3P1 - 1s.5s 3S1
168.4236     8.87e-05 C V           5.90   1s.2p 3P0 - 1s.5s 3S1
168.4290     7.78e-04 Ar VII        5.60   3s 3p 3P1 - 3d2 1S0
168.4330     3.19e-06 O IV          5.35   2s2 2p 2P1/2 - 2s 2p 4d 2D5/2
168.4560     4.64e-06 O IV          5.35   2s2 2p 2P1/2 - 2s 2p 4d 2D3/2
168.4585     4.43e-04 C V           5.90   1s.2p 3P2 - 1s.5s 3S1
168.5040     1.23e-05 Fe X          5.95   3s 3p5 3d 2F7/2 - 3s 3p5 4s 2P3/2
168.5140     2.41e-03 N V           5.35   1s2.2p 2P1/2 - 1s2.5s 2S1/2
168.5430     1.05e-05 O IV          5.35   2s2 2p 2P3/2 - 2s 2p 4d 2D5/2
168.5440     3.45e+01 Fe VIII       5.75   3s2 3p6 3d 2D5/2 - 3s2 3p5 3d2 2P3/2
168.5660     4.46e-06 O IV          5.35   2s2 2p 2P3/2 - 2s 2p 4d 2D3/2
168.5870     4.82e-03 N V           5.35   1s2.2p 2P3/2 - 1s2.5s 2S1/2
168.5950     4.47e-03 Ne V          5.60   2s 2p3 3P1 - 2s 2p2 3d 3P1
168.5950     7.94e-03 Ne V          5.60   2s 2p3 3P2 - 2s 2p2 3d 3P1
168.6040     6.55e-03 Ne V          5.60   2s 2p3 3P0 - 2s 2p2 3d 3P1
168.6690     9.46e-05 Fe XI         6.00   3s 3p4 3d 3D3 - 3s2 3p3 4d 3D3
168.6740     3.50e-05 Ar IX         5.95   2s2 2p5 3p 1P1 - 2s 2p6 3p 3P1
168.6790     2.39e-05 Ne VIII       5.85   1s2.3p 2P1/2 - 1s2.6s 2S1/2
168.7060     1.03e-04 Fe X          5.95   3s2 3p4 3d 2D5/2 - 3s2 3p4 4p 2F7/2
168.7110     2.25e-02 Ne V          5.60   2s 2p3 3P2 - 2s 2p2 3d 3P2
168.7120     8.27e-03 Ne V          5.60   2s 2p3 3P1 - 2s 2p2 3d 3P2
168.7480     5.07e-04 Ar VII        5.60   3s 3p 3P2 - 3p 4p 3S1
168.7490     2.20e-05 Fe X          5.95   3s2 3p4 3d 2D3/2 - 3s2 3p4 4p 2D5/2
168.7502     1.20e-05 C V           5.95   2p2 1D2 - 2p.4d 1F3
168.7590     1.25e-02 O V           5.45   2p2 1D2 - 2p 4s 1P1
168.7650     1.23e-01 Ne VI         5.70   2s 2p2 2D5/2 - 2s2 3p 2P3/2
168.7730     1.11e+00 Ne VI         5.70   2s 2p2 2D3/2 - 2s2 3p 2P3/2
168.8180     4.73e-05 Ne VIII       5.85   1s2.3p 2P3/2 - 1s2.6s 2S1/2
168.8570     6.10e-01 Ne VI         5.70   2s 2p2 2D5/2 - 2s2 3p 2P1/2
168.9290     1.95e+01 Fe VIII       5.75   3s2 3p6 3d 2D3/2 - 3s2 3p5 3d2 2P1/2
169.0690     3.53e-06 Al III        5.25   3s 2S1/2 - 2p5 3s2 2P1/2
169.1420     1.96e-03 Mg III        5.20   2s2 2p6 1S0 - 2s2 2p5 5s 3P1
169.1920     2.10e-05 O V           5.45   2s 2p 1P1 - 2s 4f 1F3
169.2620     1.11e-05 Al X          6.05   2p 3p 3D3 - 2p 4d 3F4
169.2760     1.04e-05 O V           5.45   2s 2p 3P0 - 2p 3p 1P1
169.3150     6.73e-05 O V           5.45   2s 2p 3P1 - 2p 3p 1P1
169.4720     2.49e-03 O IV          5.35   2s2 2p 2P1/2 - 2s 2p 4p 2S1/2
169.4940     3.22e-05 Ar IX         5.95   2s2 2p5 3p 3P0 - 2s 2p6 3p 3P1
169.5830     4.66e-03 O IV          5.35   2s2 2p 2P3/2 - 2s 2p 4p 2S1/2
169.5900     1.95e-03 Ni XIII       6.10   3s2.3p4 3P1 - 3s2.3p3(2D).3d 3P2
169.6650     9.75e-05 O V           5.45   2p2 3P0 - 2s 5p 3P1
169.6900     8.25e-05 Ni XIV        6.15   3s2.3p3 4S3/2 - 3s2.3p2(3P).3d 4P1/2
169.7050     1.48e-04 O V           5.45   2p2 3P1 - 2s 5p 3P2
169.7100     1.40e-04 O V           5.45   2p2 3P1 - 2s 5p 3P0
169.7100     8.12e-05 O V           5.45   2p2 3P1 - 2s 5p 3P1
169.7250     1.87e-05 K XII         6.10   2s2.2p4 3P2 - 2s.2p5 3P1
169.7430     1.30e-03 Mg III        5.20   2s2 2p6 1S0 - 2s2 2p5 5s 1P1
169.7510     2.83e-06 Fe X          5.95   3s2 3p4 3d 4P5/2 - 3s2 3p4 4s 4P3/2
169.7830     5.07e-04 O V           5.45   2p2 3P2 - 2s 5p 3P2
169.7870     1.34e-04 O V           5.45   2p2 3P2 - 2s 5p 3P1
169.7890     7.62e-04 Fe X          5.95   3s2 3p4 3d 2D5/2 - 3s2 3p4 4p 2F5/2
169.8520     6.79e-06 S VII         5.85   2s2 2p5 3p 3S1 - 2s2 2p5 5d 1P1
169.8640     1.20e-04 Ar VII        5.60   3s 3p 3P0 - 3p 4p 3D1
169.8810     2.54e-04 Ar VII        5.60   3s 3p 3P1 - 3p 4p 3D2
169.9010     3.38e-06 O V           5.45   2p2 3P2 - 2s 5p 1P1
170.0740     5.70e-03 N IV          5.25   2s2 1S0 - 2s 7p 1P1
170.0960     6.23e-05 Ar VII        5.60   3s 3p 3P1 - 3p 4p 3D1
170.1110     7.40e-06 Al III        5.25   3s 2S1/2 - 2p5 3s2 2P3/2
170.2190     4.73e-01 O V           5.45   2s 2p 1P1 - 2s 4d 1D2
170.2270     5.65e-04 Mg X          6.00   1s2.3s 2S1/2 - 1s2.4p 2P3/2
170.2270     1.08e-03 Mg X          6.00   1s2.3s 2S1/2 - 1s2.4p 2P1/2
170.2450     5.90e-06 Al III        5.25   3p 2P3/2 - 2p5 3s 3p 2D5/2
170.2790     2.93e-06 S XI          6.10   2s2 2p2 3P1 - 2s 2p3 1P1
170.2940     1.08e-04 Ne V          5.55   2s 2p3 3P2 - 2s 2p2 3d 5D2
170.2950     2.93e-05 Ne V          5.55   2s 2p3 3P1 - 2s 2p2 3d 5D2
170.3120     9.99e-05 Ne V          5.55   2s 2p3 3P2 - 2s 2p2 3d 5D1
170.3120     6.12e-05 Ne V          5.55   2s 2p3 3P1 - 2s 2p2 3d 5D1
170.3210     7.61e-05 Ne V          5.55   2s 2p3 3P0 - 2s 2p2 3d 5D1
170.3440     1.84e-04 Fe X          5.95   3s 3p5 3d 4F7/2 - 3s2 3p4 4d 4F5/2
170.3670     1.27e-05 Ni XIII       6.10   3s2.3p4 1D2 - 3s2.3p3(4S).3d 3D3
170.3680     6.11e-05 Ar VII        5.60   3s 3p 3P2 - 3p 4p 3D2
170.4170     1.55e-01 Fe VII        5.65   3p6 3d2 1D2 - 3p5 3d3(4F) 3D1
170.4960     3.37e-06 Al III        5.25   3p 2P1/2 - 2p5 3s 3p 2D3/2
170.5000     1.16e-03 Ni XIV        6.15   3s2.3p3 4S3/2 - 3s2.3p2(3P).3d 4P3/2
170.5090     6.07e-06 Na VIII       5.90   2p 3s 3P2 - 2p 5p 3P2
170.5670     1.43e-02 Fe VII        5.65   3p6 3d2 1D2 - 3p5 3d3(4F) 3D2
170.5750     8.02e-02 Fe X          5.95   3s2 3p5 2P3/2 - 3s2 3p4 3d 2D3/2
170.5850     5.13e-06 Ar VII        5.60   3s 3p 3P2 - 3p 4p 3D1
170.6150     1.01e-05 Ar IX         5.95   2s2 2p5 3p 3P1 - 2s 2p6 3p 3P1
170.6250     2.93e-06 Cr XIII       6.10   3s 4p 1P1 - 3s 5d 1D2
170.6650     3.18e-02 Fe VII        5.65   3p6 3d2 1D2 - 3p5 3d3(4F) 3D3
170.7580     7.97e-06 Fe X          5.95   3s 3p5 3d 4F5/2 - 3s 3p4 3d2 2F5/2
170.8040     2.30e-02 Mg III        5.20   2s2 2p6 1S0 - 2s2 2p5 4d 1P1
170.8180     2.53e-05 K VIII        5.70   3s2 1S0 - 3p 3d 1P1
170.8360     6.10e-04 Fe XI         6.00   3s2 3p4 1D2 - 3s2 3p3 3d 1P1
170.8670     2.49e-06 Ar VII        5.60   3s 3p 3P0 - 3p 4p 1P1
171.0050     1.89e-05 Fe X          5.95   3s 3p5 3d 4F7/2 - 3s2 3p4 4d 2D5/2
171.0730     2.48e+02 Fe IX         5.85   3s2 3p6 1S0 - 3s2 3p5 3d 1P1
171.0740     3.63e-02 O IV          5.35   2s2 2p 2P1/2 - 2s 2p 4p 2D3/2
171.1030     1.10e-05 Ar VII        5.60   3s 3p 3P1 - 3p 4p 1P1
171.1230     6.68e-02 O IV          5.35   2s2 2p 2P3/2 - 2s 2p 4p 2D5/2
171.1660     1.09e-01 Fe VII        5.65   3p6 3d2 3P0 - 3p5 3d3(4F) 3D1
171.1880     7.64e-03 O IV          5.35   2s2 2p 2P3/2 - 2s 2p 4p 2D3/2
171.2080     1.20e-01 Fe IX         5.85   3s2 3p5 3d 3P1 - 3s2 3p4 3d2 3D2
171.2460     2.06e-05 Fe X          5.95   3s 3p5 3d 4F5/2 - 3s2 3p4 4d 4F5/2
171.2530     1.37e-05 Fe X          5.95   3s2 3p4 3d 4P3/2 - 3s2 3p4 4s 4P5/2
171.2620     1.09e-04 Fe X          5.95   3s 3p5 3d 2F7/2 - 3s2 3p4 4d 2D5/2
