Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+09 (cm-3) 
500.2 to 1599.9 Angstroms
Number of lines:  14289
Minimum intensity =    8.4748042e-06
Units are:  erg cm-2 sr-1 s-1
Calculated: 06/May/22 17:54:08

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   1.38038e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 
509.5310     3.08e-03 Ca VII         5.7   3s2.3p2 1S0 - 3s.3p3 3S1
509.5790     1.51e-01 N III          5.0   2s 2p2 2D5/2 - 2s 2p 3s 2P3/2
509.5960     1.67e-02 N III          5.0   2s 2p2 2D3/2 - 2s 2p 3s 2P3/2
509.7310     7.68e-05 Fe VIII        5.8   3s2 3p6 4d 2D3/2 - 3s2 3p5 3d 4s 4F5/2
509.8900     8.21e-02 N III          5.0   2s 2p2 2D3/2 - 2s 2p 3s 2P1/2
509.8910     4.77e-04 N V            5.3   1s2.3p 2P1/2 - 1s2.5s 2S1/2
510.0420     8.77e-03 Fe XIII        6.1   3s2 3p2 3P2 - 3s 3p3 5S2
510.0790     6.77e-05 Si III         4.8   3s 3p 3P0 - 3p 4p 3S1
510.0890     9.53e-04 N V            5.3   1s2.3p 2P3/2 - 1s2.5s 2S1/2
510.3050     9.95e-06 Ne V           5.6   2s2 2p 3p 3D3 - 2s2 2p 4d 3F2
510.3190     1.14e-03 Ne V           5.6   2s2 2p 3p 3S1 - 2s2 2p 4d 3P2
510.3800     3.86e-05 C III          5.0   2p2 3P1 - 2p 3d 3F2
510.3970     1.67e-05 O IV           5.3   2s2 3d 2D3/2 - 2p2 3p 2D3/2
510.4130     1.66e-04 Si III         4.8   3s 3p 3P1 - 3p 4p 3S1
510.4400     1.02e-04 C III          5.0   2p2 3P2 - 2p 3d 3F3
510.5040     1.18e-05 C III          5.0   2p2 3P2 - 2p 3d 3F2
510.5160     2.50e-05 O IV           5.3   2s2 3d 2D5/2 - 2p2 3p 2D5/2
510.6630     4.10e-05 Fe XI          6.0   3s2 3p3 3d 3F4 - 3s 3p4 3d 5F5
510.8110     1.37e-04 Ne V           5.6   2s2 2p 3d 1D2 - 2s 2p2 3d 1D2
511.0020     5.04e-05 Fe XIII        6.1   3s2 3p2 1S0 - 3s 3p3 3D1
511.0280     8.22e-05 S VI           5.7   4p 2P1/2 - 6d 2D3/2
511.0960     1.59e-04 Si III         4.8   3s 3p 3P2 - 3p 4p 3S1
511.1380     1.07e-03 Al III         4.6   3s 2S1/2 - 6p 2P3/2
511.1910     5.38e-04 Al III         4.6   3s 2S1/2 - 6p 2P1/2
511.2760     7.85e-05 S III          4.8   3s2.3p2 1D2 - 3s2.3p.4d 3D3
511.3390     1.69e-05 Ne VI          5.7   2s 2p 3p 2P3/2 - 2p2 3p 2D5/2
511.3620     1.23e-05 Ar VII         5.6   3p 3d 3P0 - 3d2 3P1
511.5230     4.64e-02 C III          5.0   2p2 1D2 - 2s 5f 1F3
511.8070     1.55e-03 N V            5.3   1s2.3d 2D3/2 - 1s2.5f 2F5/2
511.8650     1.11e-04 N V            5.3   1s2.3d 2D5/2 - 1s2.5f 2F5/2
511.8650     2.20e-03 N V            5.3   1s2.3d 2D5/2 - 1s2.5f 2F7/2
511.9030     2.89e-04 S III          4.8   3s2.3p2 1D2 - 3s2.3p.4d 3D2
511.9430     4.63e-05 Mn X           5.9   3s2.3p4 1S0 - 3s.3p5 3P1
511.9940     6.18e-04 Si III         4.8   3s 3p 3P1 - 3p 4p 3P2
512.0490     8.09e-03 Ca IX          5.8   3s 3p 3P1 - 3p2 3P0
512.1510     2.07e-05 Na IX          5.9   4p 2P3/2 - 5s 2S1/2
512.2050     1.51e-04 S VI           5.7   4p 2P3/2 - 6d 2D5/2
512.2190     4.57e-04 Si III         4.8   3s 3p 3P0 - 3p 4p 3P1
512.2270     1.76e-05 S VI           5.7   4p 2P3/2 - 6d 2D3/2
512.4500     1.69e-05 O V            5.4   2p 3d 3D3 - 2p 5p 3D3
512.5160     1.13e-05 Ne VI          5.7   2s 2p 3p 2D5/2 - 2p2 3p 2F7/2
512.5420     9.16e-06 Ne VI          5.7   2s 2p 3p 2P1/2 - 2p2 3p 2D3/2
512.5570     3.42e-04 Si III         4.8   3s 3p 3P1 - 3p 4p 3P1
512.5760     2.19e-04 Ca IX          5.8   3p 3d 1P1 - 3d2 1D2
512.6130     5.31e-05 Mg VI          5.7   2s2.2p3 2D3/2 - 2s.2p4 4P1/2
512.6810     2.06e-03 Si III         4.8   3s 3p 3P2 - 3p 4p 3P2
512.7150     7.16e-04 Ne VII         5.8   2p 3s 1P1 - 2s 4d 1D2
512.7720     2.08e-04 Si III         4.8   3s 3p 3P1 - 3p 4p 3P0
513.2450     7.72e-04 Si III         4.8   3s 3p 3P2 - 3p 4p 3P1
513.2600     1.43e-02 Ne III         5.1   2s.2p5 3P2 - 2s2.2p3(2D).3p 1D2
513.2680     1.81e-03 Fe VIII        5.8   3s2 3p5 3d2 2F5/2 - 3s2 3p6 4d 2D5/2
513.3720     6.24e-03 Ne III         5.1   2s.2p5 3P2 - 2s2.2p3(2D).3p 3P1
513.4630     5.17e-04 Ne V           5.6   2s2 2p 3p 3S1 - 2s2 2p 4d 3D2
513.4860     1.02e-02 S VIII         5.9   2s2.2p4(3P).3s 2P3/2 - 2s2.2p4(1D).3p 2P3/2
513.5580     4.40e-04 Ar IX          5.9   2s2 2p5 3p 3D1 - 2s2 2p5 3d 3F2
513.8980     8.80e-05 O III          5.1   2s 2p3 1D2 - 2s2 2p 4f 1D2
514.1040     7.23e-04 O IV           5.3   2s2 3p 2P3/2 - 2s 2p 4p 2D5/2
514.1650     7.09e-05 Na VI          5.8   2s2 2p 3p 1D2 - 2s 2p2 3p 1F3
514.1750     7.25e-04 Si V           5.6   2s2 2p5 3p 3S1 - 2s2 2p5 4s 3P1
514.3400     1.45e-05 O III          5.1   2s 2p3 1D2 - 2s2 2p 4f 3D2
514.3960     1.16e-05 O III          5.1   2s 2p3 1D2 - 2s2 2p 4f 3D3
514.4570     3.98e-04 O IV           5.3   2s2 3p 2P1/2 - 2s 2p 4p 2D3/2
514.5360     1.80e-02 Fe VIII        5.8   3s2 3p5 3d2 2F5/2 - 3s2 3p6 4d 2D3/2
514.6870     7.95e-05 O IV           5.3   2s2 3p 2P3/2 - 2s 2p 4p 2D3/2
514.8110     4.71e-03 Ne III         5.1   2s.2p5 3P1 - 2s2.2p3(2D).3p 1D2
514.8910     1.37e-04 Mg VI          5.7   2s2.2p3 2D3/2 - 2s.2p4 4P3/2
514.9240     1.95e-03 Ne III         5.1   2s.2p5 3P1 - 2s2.2p3(2D).3p 3P1
515.1180     1.17e-02 Si IV          4.9   3p 2P1/2 - 5s 2S1/2
515.1380     1.80e-05 O III          5.1   2s 2p3 1D2 - 2s2 2p 4f 3G3
515.1780     3.62e-03 Ne III         5.1   2s.2p5 3P1 - 2s2.2p3(2D).3p 3P0
515.3948     1.94e-05 C V            5.9   1s.3d 3D1 - 1s.5p 3P0
515.3948     1.36e-05 C V            5.9   1s.3d 3D2 - 1s.5p 3P1
515.4400     1.06e-05 Ne V           5.6   2s 2p2 3p 5P3 - 2s 2p2 4d 5P2
515.5650     9.60e-02 Ca IX          5.8   3s 3p 3P2 - 3p2 3P1
515.6170     3.05e-01 He I           4.4   1s2 1S0 - 1s.5p 1P1
515.6970     1.61e-05 N V            5.3   1s2.3d 2D3/2 - 1s2.5p 2P3/2
515.7350     4.67e-03 O IV           5.3   2p3 2P3/2 - 2s 2p 3p 2D5/2
515.7400     8.06e-05 N V            5.3   1s2.3d 2D3/2 - 1s2.5p 2P1/2
