Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+10 (cm-3) 
500.2 to 1599.9 Angstroms
Number of lines:  14831
Minimum intensity =        259397.92
Units are:  photons cm-2 sr-1 s-1
Calculated: 12/Oct/21 20:15:29

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   1.38038e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 
511.2760     2.12e+06 S III          4.8   3s2.3p2 1D2 - 3s2.3p.4d 3D3
511.3390     4.36e+05 Ne VI          5.7   2s 2p 3p 2P3/2 - 2p2 3p 2D5/2
511.3620     3.17e+05 Ar VII         5.6   3p 3d 3P0 - 3d2 3P1
511.5230     1.42e+09 C III          5.0   2p2 1D2 - 2s 5f 1F3
511.8070     4.00e+07 N V            5.3   1s2.3d 2D3/2 - 1s2.5f 2F5/2
511.8650     2.86e+06 N V            5.3   1s2.3d 2D5/2 - 1s2.5f 2F5/2
511.8650     5.67e+07 N V            5.3   1s2.3d 2D5/2 - 1s2.5f 2F7/2
511.9030     7.72e+06 S III          4.8   3s2.3p2 1D2 - 3s2.3p.4d 3D2
511.9430     1.09e+06 Mn X           5.9   3s2.3p4 1S0 - 3s.3p5 3P1
511.9940     1.78e+07 Si III         4.8   3s 3p 3P1 - 3p 4p 3P2
512.0490     2.14e+08 Ca IX          5.8   3s 3p 3P1 - 3p2 3P0
512.1510     5.34e+05 Na IX          5.9   4p 2P3/2 - 5s 2S1/2
512.2050     3.90e+06 S VI           5.7   4p 2P3/2 - 6d 2D5/2
512.2190     1.32e+07 Si III         4.8   3s 3p 3P0 - 3p 4p 3P1
512.2270     4.54e+05 S VI           5.7   4p 2P3/2 - 6d 2D3/2
512.4500     4.62e+05 O V            5.4   2p 3d 3D3 - 2p 5p 3D3
512.5160     2.90e+05 Ne VI          5.7   2s 2p 3p 2D5/2 - 2p2 3p 2F7/2
512.5570     9.92e+06 Si III         4.8   3s 3p 3P1 - 3p 4p 3P1
512.5760     5.64e+06 Ca IX          5.8   3p 3d 1P1 - 3d2 1D2
512.6130     1.00e+06 Mg VI          5.7   2s2.2p3 2D3/2 - 2s.2p4 4P1/2
512.6810     5.95e+07 Si III         4.8   3s 3p 3P2 - 3p 4p 3P2
512.7150     1.84e+07 Ne VII         5.8   2p 3s 1P1 - 2s 4d 1D2
512.7720     7.50e+06 Si III         4.8   3s 3p 3P1 - 3p 4p 3P0
513.2450     2.24e+07 Si III         4.8   3s 3p 3P2 - 3p 4p 3P1
513.2600     3.66e+08 Ne III         5.1   2s.2p5 3P2 - 2s2.2p3(2D).3p 1D2
513.2680     4.64e+07 Fe VIII        5.8   3s2 3p5 3d2 2F5/2 - 3s2 3p6 4d 2D5/2
513.3720     1.59e+08 Ne III         5.1   2s.2p5 3P2 - 2s2.2p3(2D).3p 3P1
513.4630     1.30e+07 Ne V           5.6   2s2 2p 3p 3S1 - 2s2 2p 4d 3D2
513.4860     2.29e+08 S VIII         5.9   2s2.2p4(3P).3s 2P3/2 - 2s2.2p4(1D).3p 2P3/2
513.5580     1.17e+07 Ar IX          5.9   2s2 2p5 3p 3D1 - 2s2 2p5 3d 3F2
513.8980     2.30e+06 O III          5.1   2s 2p3 1D2 - 2s2 2p 4f 1D2
514.0200     4.13e+05 Cr XIII        6.1   3s 3p 1P1 - 3p2 3P2
514.1040     1.88e+07 O IV           5.3   2s2 3p 2P3/2 - 2s 2p 4p 2D5/2
514.1650     2.28e+06 Na VI          5.8   2s2 2p 3p 1D2 - 2s 2p2 3p 1F3
514.1750     1.93e+07 Si V           5.6   2s2 2p5 3p 3S1 - 2s2 2p5 4s 3P1
514.3400     3.75e+05 O III          5.1   2s 2p3 1D2 - 2s2 2p 4f 3D2
514.3960     3.00e+05 O III          5.1   2s 2p3 1D2 - 2s2 2p 4f 3D3
514.4570     1.04e+07 O IV           5.3   2s2 3p 2P1/2 - 2s 2p 4p 2D3/2
514.5360     4.64e+08 Fe VIII        5.8   3s2 3p5 3d2 2F5/2 - 3s2 3p6 4d 2D3/2
514.6870     2.08e+06 O IV           5.3   2s2 3p 2P3/2 - 2s 2p 4p 2D3/2
514.8110     1.21e+08 Ne III         5.1   2s.2p5 3P1 - 2s2.2p3(2D).3p 1D2
514.8910     2.59e+06 Mg VI          5.7   2s2.2p3 2D3/2 - 2s.2p4 4P3/2
514.9240     5.00e+07 Ne III         5.1   2s.2p5 3P1 - 2s2.2p3(2D).3p 3P1
515.1180     3.04e+08 Si IV          4.9   3p 2P1/2 - 5s 2S1/2
515.1380     4.61e+05 O III          5.1   2s 2p3 1D2 - 2s2 2p 4f 3G3
